队伍名,英雄名,次数,分路
BOA,亚连,17,上单
BOA,大乔,24,"中单, 辅助"
BOA,朵莉亚,17,辅助
BOA,杨玉环,12,"打野, 中单"
BOA,沈梦溪,15,中单
BOA,海诺,17,"上单, 打野, 中单"
Hero久竞,兰陵王,8,"打野, 辅助"
Hero久竞,大乔,11,"中单, 辅助"
Hero久竞,太乙真人,10,辅助
Hero久竞,朵莉亚,19,辅助
Hero久竞,露娜,6,打野
Hero久竞,鲁班大师,7,辅助
XYG,兰陵王,8,"打野, 辅助"
XYG,大乔,18,"中单, 辅助"
XYG,朵莉亚,14,辅助
XYG,杨玉环,7,"打野, 中单"
XYG,铠,8,打野
XYG,鲁班大师,10,辅助
上海EDG.M,亚连,6,上单
上海EDG.M,大乔,18,"中单, 辅助"
上海EDG.M,太乙真人,7,辅助
上海EDG.M,朵莉亚,12,辅助
上海EDG.M,达摩,6,上单
上海EDG.M,鲁班大师,26,辅助
上海RNG.M,不知火舞,8,中单
上海RNG.M,兰陵王,9,"打野, 辅助"
上海RNG.M,大乔,23,"中单, 辅助"
上海RNG.M,朵莉亚,8,辅助
上海RNG.M,狂铁,8,上单
上海RNG.M,达摩,8,上单
佛山DRG,不知火舞,13,中单
佛山DRG,兰陵王,19,"打野, 辅助"
佛山DRG,大乔,29,"中单, 辅助"
佛山DRG,朵莉亚,21,辅助
佛山DRG,沈梦溪,25,中单
佛山DRG,鲁班大师,14,辅助
北京JDG,大乔,22,"中单, 辅助"
北京JDG,姬小满,14,"上单, 打野"
北京JDG,朵莉亚,13,辅助
北京JDG,杨玉环,17,"打野, 中单"
北京JDG,狂铁,13,上单
北京JDG,达摩,13,上单
北京WB,大乔,20,"中单, 辅助"
北京WB,朵莉亚,17,辅助
北京WB,海诺,13,"上单, 打野, 中单"
北京WB,铠,11,打野
北京WB,镜,12,打野
北京WB,鲁班大师,16,辅助
广州TTG,不知火舞,12,中单
广州TTG,亚连,18,上单
广州TTG,伽罗,11,射手
广州TTG,兰陵王,21,"打野, 辅助"
广州TTG,大乔,29,"中单, 辅助"
广州TTG,鲁班大师,19,辅助
成都AG超玩会,不知火舞,15,中单
成都AG超玩会,大乔,35,"中单, 辅助"
成都AG超玩会,敖隐,10,射手
成都AG超玩会,朵莉亚,14,辅助
成都AG超玩会,海月,16,中单
成都AG超玩会,鲁班大师,12,辅助
杭州LGD.NBW,大乔,27,"中单, 辅助"
杭州LGD.NBW,朵莉亚,28,辅助
杭州LGD.NBW,杨玉环,14,"打野, 中单"
杭州LGD.NBW,沈梦溪,11,中单
杭州LGD.NBW,裴擒虎,11,打野
杭州LGD.NBW,鲁班大师,15,辅助
武汉eStarPro,兰陵王,26,"打野, 辅助"
武汉eStarPro,大乔,23,"中单, 辅助"
武汉eStarPro,朵莉亚,30,辅助
武汉eStarPro,沈梦溪,22,中单
武汉eStarPro,甄姬,18,中单
武汉eStarPro,鲁班大师,18,辅助
济南RW侠,兰陵王,12,"打野, 辅助"
济南RW侠,大乔,39,"中单, 辅助"
济南RW侠,朵莉亚,15,辅助
济南RW侠,达摩,9,上单
济南RW侠,铠,10,打野
济南RW侠,鲁班大师,14,辅助
深圳DYG,不知火舞,10,中单
深圳DYG,亚连,10,上单
深圳DYG,大乔,26,"中单, 辅助"
深圳DYG,海诺,7,"上单, 打野, 中单"
深圳DYG,裴擒虎,8,打野
深圳DYG,鲁班大师,10,辅助
苏州KSG,不知火舞,17,中单
苏州KSG,兰陵王,20,"打野, 辅助"
苏州KSG,大乔,32,"中单, 辅助"
苏州KSG,杨玉环,17,"打野, 中单"
苏州KSG,狂铁,17,上单
苏州KSG,鲁班大师,12,辅助
西安WE,亚连,7,上单
西安WE,兰陵王,11,"打野, 辅助"
西安WE,大乔,12,"中单, 辅助"
西安WE,姬小满,8,"上单, 打野"
西安WE,朵莉亚,9,辅助
西安WE,铠,9,打野
重庆狼队,不知火舞,15,中单
重庆狼队,兰陵王,23,"打野, 辅助"
重庆狼队,大乔,13,"中单, 辅助"
重庆狼队,朵莉亚,25,辅助
重庆狼队,沈梦溪,17,中单
重庆狼队,鲁班大师,15,辅助
长沙TES.A,不知火舞,13,中单
长沙TES.A,兰陵王,15,"打野, 辅助"
长沙TES.A,大乔,33,"中单, 辅助"
长沙TES.A,朵莉亚,18,辅助
长沙TES.A,沈梦溪,13,中单
长沙TES.A,鲁班大师,18,辅助
